StudentID,English_Language,Mathematics,Biology,Chemistry,Physics,Economics,Government,Literature,Geography,Computer_Studies,Technical_Drawing,Further_Mathematics,Agricultural_Science,Study_Habits,Analytical_Thinking,Creative_Thinking,Communication_Skills,Practical_Skills,Science_Club,Debate_Club,Learning_Style,Gender,Career_Path
STU0037,81,94,90,89,80,59,63,68,69,96,59,67,55,10,8,8,5,10,0,0,Intrapersonal,Male,Medicine
STU0038,67,93,39,69,84,59,77,43,63,87,62,68,75,3,7,7,6,4,1,0,Logical-Mathematical,Female,Computer_Science
STU0039,95,49,65,65,38,66,100,83,67,63,59,59,46,8,3,5,10,5,1,0,Interpersonal,Male,Education
STU0040,98,63,73,61,73,44,61,95,64,61,37,64,54,7,5,8,7,7,0,0,Verbal-Linguistic,Female,Arts_Humanities
STU0041,69,81,78,90,100,43,64,42,69,93,92,92,55,7,10,5,3,9,1,0,Visual-Spatial,Male,Engineering
STU0042,76,50,49,50,75,63,56,87,74,77,24,55,63,4,7,10,8,8,0,0,Verbal-Linguistic,Female,Arts_Humanities
STU0043,70,90,63,66,76,58,66,47,65,83,73,69,48,7,7,8,6,3,0,1,Logical-Mathematical,Male,Computer_Science
STU0044,57,69,79,94,82,78,59,69,84,78,72,60,70,3,4,5,3,10,0,0,Bodily-Kinesthetic,Female,Technical_Vocational
STU0045,68,83,91,80,89,60,68,38,63,69,74,48,63,7,8,6,3,8,1,0,Naturalistic,Male,Medicine
STU0046,80,62,81,45,59,86,66,90,71,81,51,61,55,3,7,8,8,8,0,0,Verbal-Linguistic,Male,Education
STU0047,90,84,96,78,75,52,56,66,71,55,49,76,46,8,8,8,7,7,1,0,Naturalistic,Male,Medicine
STU0048,78,43,51,62,68,79,71,90,58,70,41,47,71,3,5,7,5,4,0,0,Verbal-Linguistic,Female,Arts_Humanities
STU0049,71,48,66,39,41,76,87,90,82,83,46,56,71,8,7,6,7,7,0,1,Intrapersonal,Female,Social_Sciences
STU0050,50,99,50,94,100,60,57,38,81,93,91,88,64,9,7,8,6,8,0,1,Visual-Spatial,Female,Engineering
STU0051,72,88,82,87,82,61,75,46,78,87,89,64,87,8,7,6,8,9,1,0,Bodily-Kinesthetic,Female,Technical_Vocational
STU0052,91,80,76,65,35,63,99,93,72,70,51,53,81,9,9,3,8,8,0,1,Verbal-Linguistic,Female,Law
STU0053,61,80,83,68,67,68,77,83,78,76,86,71,92,6,3,3,8,10,0,0,Bodily-Kinesthetic,Male,Technical_Vocational
STU0054,72,87,87,98,90,86,82,51,87,65,69,80,91,9,10,5,3,4,0,0,Naturalistic,Female,Natural_Sciences
STU0055,68,61,57,55,84,83,89,82,83,65,47,82,54,6,6,3,7,3,0,1,Intrapersonal,Female,Social_Sciences
STU0056,60,79,79,86,76,74,85,61,64,68,84,71,88,9,7,3,7,8,0,0,Bodily-Kinesthetic,Female,Technical_Vocational
STU0057,67,89,81,74,89,53,71,65,71,87,66,84,77,8,9,8,6,6,1,1,Logical-Mathematical,Male,Computer_Science
STU0058,66,87,72,75,96,69,68,57,48,87,88,86,73,10,8,7,6,9,1,0,Visual-Spatial,Male,Engineering
STU0059,62,89,72,58,86,81,56,47,62,90,57,84,63,6,7,9,8,6,1,0,Logical-Mathematical,Male,Computer_Science
STU0060,85,71,81,70,67,91,70,75,62,87,41,27,54,5,5,7,10,8,0,0,Interpersonal,Female,Business
STU0061,79,90,69,79,54,88,74,54,54,90,49,64,77,4,5,8,8,8,0,1,Interpersonal,Male,Business
STU0062,55,94,86,94,87,74,51,50,84,47,41,45,90,8,7,8,3,8,0,0,Interpersonal,Male,Medicine
STU0063,94,100,95,88,93,83,42,62,85,66,67,84,99,8,9,5,8,8,1,0,Naturalistic,Female,Natural_Sciences
STU0064,63,71,70,42,72,88,83,58,75,80,32,81,97,5,3,7,7,6,0,0,Interpersonal,Female,Business
STU0065,72,88,81,100,62,49,81,84,50,93,50,95,62,9,7,6,8,7,1,0,Naturalistic,Male,Medicine
STU0066,79,59,63,44,61,77,95,71,74,58,61,50,54,3,5,5,10,7,0,1,Intrapersonal,Male,Social_Sciences
STU0067,55,93,69,88,85,57,72,60,52,91,93,78,74,7,7,4,6,8,0,0,Visual-Spatial,Female,Engineering
STU0068,87,89,83,94,97,61,62,72,90,62,71,67,89,4,8,4,6,4,1,0,Naturalistic,Female,Natural_Sciences
STU0069,58,77,67,56,92,49,65,60,57,95,88,78,75,6,8,7,5,4,1,0,Logical-Mathematical,Female,Computer_Science
STU0070,88,80,55,67,75,61,43,67,69,68,90,59,94,5,4,6,6,10,1,0,Bodily-Kinesthetic,Male,Technical_Vocational
STU0071,77,69,79,52,76,79,84,84,70,65,53,27,66,9,7,8,8,8,0,1,Verbal-Linguistic,Female,Law
STU0072,52,80,69,96,92,63,71,71,68,92,97,89,42,10,7,4,5,8,0,0,Visual-Spatial,Female,Engineering
STU0073,60,77,53,64,93,70,74,72,77,93,72,79,55,8,8,10,6,7,1,0,Logical-Mathematical,Male,Computer_Science
STU0074,64,91,87,98,95,68,69,49,83,68,58,100,82,6,10,4,6,6,0,0,Naturalistic,Male,Natural_Sciences
STU0075,81,73,74,62,36,71,73,85,79,100,60,65,75,5,5,3,9,8,0,0,Verbal-Linguistic,Female,Education
STU0076,90,60,83,66,54,93,83,95,40,73,52,38,75,10,7,7,10,5,0,1,Verbal-Linguistic,Female,Law
STU0077,80,55,65,67,66,84,80,88,57,73,50,78,68,9,8,3,9,5,0,1,Verbal-Linguistic,Female,Law
STU0078,63,96,83,67,87,84,64,77,90,97,69,87,48,5,10,9,8,5,1,0,Logical-Mathematical,Female,Computer_Science
STU0079,76,84,86,72,63,84,66,38,64,72,51,63,60,5,8,4,7,4,0,0,Interpersonal,Male,Business
STU0080,54,89,63,76,86,72,77,82,68,91,76,73,69,6,9,10,3,5,1,0,Logical-Mathematical,Female,Computer_Science
STU0081,54,86,87,85,82,71,59,70,77,72,65,93,82,9,10,7,5,6,1,0,Naturalistic,Male,Natural_Sciences
STU0082,91,50,76,38,60,90,70,98,74,64,20,52,64,9,6,3,7,7,0,0,Verbal-Linguistic,Female,Education
STU0083,75,69,70,67,73,93,69,55,66,73,45,26,62,8,4,6,9,8,0,1,Interpersonal,Male,Business
STU0084,84,88,59,47,91,57,47,48,65,93,75,83,56,5,10,10,7,6,1,0,Intrapersonal,Female,Computer_Science
STU0085,70,79,90,92,66,74,66,74,64,79,55,63,71,8,4,7,7,9,1,0,Verbal-Linguistic,Female,Medicine
STU0086,85,71,75,62,73,85,61,68,66,84,52,69,77,7,4,6,7,8,0,0,Interpersonal,Male,Business
STU0087,97,47,63,65,70,70,74,94,52,70,61,35,93,8,7,6,7,5,0,0,Verbal-Linguistic,Male,Law
STU0088,91,54,64,63,58,88,82,82,84,88,75,60,66,9,7,4,9,7,0,1,Verbal-Linguistic,Female,Education
STU0089,78,100,79,96,74,68,50,69,70,57,79,76,92,6,7,8,3,5,1,0,Intrapersonal,Male,Natural_Sciences
STU0090,73,77,67,81,63,62,63,87,60,90,71,37,28,9,4,8,7,8,0,1,Verbal-Linguistic,Male,Arts_Humanities
STU0091,78,83,95,76,83,75,67,50,92,84,66,85,60,9,10,8,6,4,0,0,Logical-Mathematical,Male,Computer_Science
STU0092,62,70,62,81,82,76,70,93,92,93,58,55,71,6,7,6,7,4,1,0,Verbal-Linguistic,Female,Education
STU0093,78,75,84,59,50,87,91,70,67,53,62,47,74,10,8,3,7,3,0,1,Verbal-Linguistic,Female,Law
STU0094,92,51,78,36,63,89,84,79,88,41,66,31,41,7,7,5,8,7,0,1,Intrapersonal,Female,Social_Sciences
STU0095,89,65,42,70,60,76,100,80,55,63,54,35,67,7,8,3,10,7,0,1,Verbal-Linguistic,Male,Law
STU0096,83,51,82,48,69,68,58,66,62,53,39,79,63,4,3,9,8,5,0,1,Verbal-Linguistic,Female,Arts_Humanities
STU0097,84,51,77,57,54,63,64,83,53,84,34,68,69,4,3,7,4,4,0,1,Verbal-Linguistic,Male,Arts_Humanities
STU0098,74,67,66,61,53,96,69,75,49,82,49,25,68,6,4,3,9,7,0,0,Visual-Spatial,Male,Business
STU0099,54,96,69,62,90,70,85,66,50,90,74,89,62,7,9,8,4,5,1,0,Intrapersonal,Female,Computer_Science
STU0100,57,78,70,69,97,63,66,65,85,86,65,85,61,6,9,10,8,6,0,0,Logical-Mathematical,Female,Computer_Science
STU0101,80,82,81,50,88,85,86,46,47,100,66,74,84,7,9,9,4,6,0,0,Logical-Mathematical,Female,Computer_Science
STU0102,87,67,90,69,28,64,81,88,75,69,66,64,87,8,5,3,10,7,0,0,Verbal-Linguistic,Male,Education
STU0103,71,84,87,99,85,61,73,63,70,69,69,66,65,7,3,3,7,9,1,0,Naturalistic,Male,Medicine
STU0104,81,51,51,93,76,69,55,94,76,76,34,45,70,8,5,8,7,3,1,0,Verbal-Linguistic,Male,Arts_Humanities
STU0105,61,60,43,86,74,98,62,70,86,65,78,73,93,5,8,3,4,7,0,0,Verbal-Linguistic,Male,Technical_Vocational
STU0106,74,82,73,88,79,53,59,67,73,95,63,79,69,9,5,8,8,9,0,0,Naturalistic,Male,Medicine
STU0107,73,70,80,69,81,94,78,35,65,74,38,28,45,3,8,4,8,4,0,0,Interpersonal,Female,Business
STU0108,88,33,62,57,56,69,93,84,54,43,63,36,82,8,7,7,8,8,1,0,Verbal-Linguistic,Male,Law
STU0109,79,91,79,83,75,82,53,65,67,65,54,69,78,8,4,4,6,10,1,0,Logical-Mathematical,Male,Medicine
STU0110,54,86,47,77,94,75,57,35,76,89,61,74,74,8,10,10,8,7,0,0,Logical-Mathematical,Female,Computer_Science
STU0111,74,78,85,65,76,56,62,64,75,59,55,65,62,7,6,5,4,9,0,0,Naturalistic,Male,Medicine
STU0112,53,91,76,85,83,51,56,93,44,94,88,88,70,7,9,6,3,10,0,1,Visual-Spatial,Female,Engineering
STU0113,64,82,80,91,88,57,68,53,72,87,86,63,74,5,6,5,8,10,0,0,Bodily-Kinesthetic,Male,Technical_Vocational
STU0114,76,100,84,81,92,66,42,54,85,51,46,75,83,6,9,7,3,5,0,0,Naturalistic,Female,Natural_Sciences
STU0115,96,67,76,65,56,75,63,88,74,80,43,53,71,4,5,7,10,6,0,0,Verbal-Linguistic,Male,Education
STU0116,56,90,87,85,87,62,55,72,87,77,76,79,91,4,9,3,5,6,1,0,Naturalistic,Male,Natural_Sciences
STU0117,90,100,91,87,93,61,54,71,92,74,85,66,72,5,9,4,6,3,1,1,Naturalistic,Female,Natural_Sciences
STU0118,52,83,88,84,100,61,81,50,62,89,93,100,85,8,10,8,3,7,1,0,Visual-Spatial,Female,Engineering
STU0119,78,89,84,94,86,72,59,63,89,69,55,82,92,5,8,5,3,5,0,0,Verbal-Linguistic,Male,Natural_Sciences
STU0120,87,72,65,80,42,69,59,87,65,88,60,33,89,5,8,8,8,3,0,0,Intrapersonal,Female,Arts_Humanities
STU0121,54,88,87,90,80,72,67,53,87,73,79,78,77,5,7,4,7,6,0,0,Naturalistic,Male,Natural_Sciences
STU0122,56,82,88,88,80,69,77,70,87,50,85,88,100,4,10,4,3,8,1,0,Verbal-Linguistic,Female,Natural_Sciences
STU0123,79,82,100,100,60,42,57,89,75,46,40,50,69,7,8,8,3,7,1,0,Naturalistic,Female,Medicine
STU0124,71,89,62,44,96,65,68,57,38,91,67,92,51,6,8,7,5,3,1,0,Logical-Mathematical,Female,Computer_Science
STU0125,66,92,91,83,68,56,49,52,59,81,37,60,67,9,7,4,8,7,1,0,Naturalistic,Female,Medicine
STU0126,80,58,65,64,51,89,96,46,65,74,52,35,65,7,3,3,8,5,0,0,Interpersonal,Female,Business
STU0127,53,89,92,94,86,51,64,73,83,66,70,93,75,9,10,3,5,3,1,0,Naturalistic,Male,Natural_Sciences
STU0128,54,94,79,99,91,42,52,86,82,77,76,76,79,8,8,4,7,8,1,0,Naturalistic,Male,Natural_Sciences
STU0129,63,79,59,70,72,74,44,41,69,99,89,93,86,7,9,10,6,8,1,0,Interpersonal,Male,Computer_Science
STU0130,79,58,59,70,72,67,79,89,52,43,49,46,73,8,6,8,8,4,0,1,Verbal-Linguistic,Male,Arts_Humanities
STU0131,59,64,82,54,73,79,100,33,67,87,46,56,57,5,6,7,9,8,0,0,Interpersonal,Female,Business
STU0132,89,67,93,87,73,69,71,67,73,68,61,72,72,9,3,5,4,9,1,0,Naturalistic,Female,Medicine
STU0133,92,79,74,55,71,63,80,52,57,86,58,75,62,6,10,7,5,4,1,0,Logical-Mathematical,Male,Computer_Science
STU0134,90,81,52,59,64,93,73,48,53,60,37,39,67,7,7,5,7,4,0,0,Interpersonal,Male,Business
STU0135,59,76,67,48,58,67,53,52,66,80,88,59,95,4,8,6,5,8,1,0,Bodily-Kinesthetic,Female,Technical_Vocational
STU0136,63,73,74,76,74,92,89,43,38,80,25,29,73,9,7,8,10,6,0,0,Interpersonal,Male,Business
STU0137,81,66,56,59,59,82,83,84,53,71,55,61,75,7,7,8,7,6,0,0,Verbal-Linguistic,Male,Arts_Humanities
STU0138,82,70,71,75,47,84,80,82,75,73,40,45,72,8,8,6,10,7,1,0,Verbal-Linguistic,Male,Education
STU0139,73,74,62,67,77,82,64,76,89,79,67,79,90,6,8,8,8,4,0,0,Interpersonal,Male,Business
STU0140,86,62,57,86,85,69,69,53,80,81,87,76,92,3,5,4,7,10,0,0,Bodily-Kinesthetic,Female,Technical_Vocational
STU0141,69,58,77,88,68,55,83,64,82,52,80,75,83,5,8,8,7,8,0,0,Verbal-Linguistic,Female,Technical_Vocational
STU0142,78,80,94,97,73,79,73,65,35,78,28,78,74,9,5,3,6,8,1,1,Naturalistic,Female,Medicine
STU0143,95,65,66,60,53,41,54,94,73,92,45,49,46,4,3,8,7,5,0,1,Verbal-Linguistic,Male,Arts_Humanities
STU0144,70,78,96,88,78,45,66,54,71,63,53,78,63,8,4,6,4,9,1,0,Naturalistic,Female,Medicine
STU0145,95,77,95,92,59,60,66,67,46,43,63,76,63,8,8,8,5,9,1,1,Naturalistic,Male,Medicine
STU0146,49,91,60,59,88,66,72,70,57,91,86,87,52,8,7,7,8,7,1,0,Logical-Mathematical,Female,Computer_Science
STU0147,94,47,69,65,58,92,86,68,84,49,62,53,81,3,3,3,8,4,0,0,Intrapersonal,Male,Social_Sciences
STU0148,81,57,60,70,56,61,48,86,100,71,35,42,67,6,6,7,3,8,0,1,Verbal-Linguistic,Male,Arts_Humanities
STU0149,64,77,52,64,85,85,63,81,44,92,83,81,61,7,8,10,7,4,1,0,Logical-Mathematical,Female,Computer_Science
STU0150,71,77,100,82,66,56,64,69,78,74,47,72,80,8,6,5,5,7,1,0,Naturalistic,Male,Medicine
STU0151,47,69,51,55,80,45,54,50,85,75,83,66,67,3,8,5,8,8,1,0,Bodily-Kinesthetic,Male,Technical_Vocational
STU0152,87,64,94,85,77,62,65,56,80,50,56,72,38,9,3,6,5,8,1,0,Naturalistic,Male,Medicine
STU0153,63,99,74,85,74,51,65,79,46,94,80,86,66,7,7,8,6,9,1,0,Visual-Spatial,Female,Engineering
STU0154,76,60,48,46,48,71,87,97,69,76,50,55,52,3,4,10,5,3,0,0,Verbal-Linguistic,Male,Arts_Humanities
STU0155,73,81,73,82,57,70,60,53,73,90,80,78,85,3,6,7,4,9,0,1,Bodily-Kinesthetic,Female,Technical_Vocational
STU0156,62,91,95,79,64,63,51,66,64,48,67,68,58,10,4,7,6,10,1,1,Naturalistic,Male,Medicine
STU0157,83,55,63,65,56,76,85,78,68,67,39,76,72,9,5,6,8,8,0,0,Verbal-Linguistic,Male,Education
STU0158,85,62,73,59,51,75,100,79,66,62,57,63,63,7,9,7,9,8,0,1,Bodily-Kinesthetic,Female,Law
STU0159,71,75,90,90,90,76,70,50,48,62,63,47,62,9,4,6,4,8,1,0,Naturalistic,Male,Medicine
STU0160,78,77,60,63,57,78,86,82,66,58,41,29,64,10,9,4,10,3,0,0,Verbal-Linguistic,Male,Law
STU0161,82,67,69,70,71,92,73,50,65,81,69,22,65,9,4,5,10,8,1,0,Interpersonal,Male,Business
STU0162,92,52,87,60,45,87,78,87,77,68,58,52,83,7,3,7,9,8,0,0,Visual-Spatial,Female,Education
STU0163,84,75,74,74,76,80,82,81,72,81,70,70,80,8,8,7,8,8,0,0,Verbal-Linguistic,Male,Education
STU0164,86,53,57,61,53,62,69,79,65,92,69,48,48,8,8,9,8,5,0,0,Bodily-Kinesthetic,Female,Arts_Humanities
STU0165,86,74,76,70,85,72,63,55,84,87,67,85,65,9,7,10,7,5,1,0,Logical-Mathematical,Male,Computer_Science
STU0166,70,92,92,93,83,82,52,60,100,69,65,78,72,3,8,6,4,5,1,1,Naturalistic,Female,Natural_Sciences
STU0167,90,74,66,66,47,86,92,49,73,82,64,40,66,9,7,3,7,5,0,0,Interpersonal,Female,Business
STU0168,38,79,83,93,90,90,75,62,65,86,84,86,71,8,10,8,8,10,1,0,Visual-Spatial,Male,Engineering
STU0169,55,87,88,49,86,55,81,58,50,93,72,97,52,6,9,9,5,4,1,0,Logical-Mathematical,Male,Computer_Science
STU0170,78,74,69,69,45,81,92,85,79,62,53,55,72,9,6,3,7,6,0,0,Intrapersonal,Male,Social_Sciences
STU0171,97,57,84,74,77,80,68,88,80,62,58,48,63,4,7,4,9,8,0,0,Verbal-Linguistic,Female,Education
STU0172,59,89,70,88,96,58,87,36,67,93,75,92,84,7,9,9,3,5,1,1,Logical-Mathematical,Male,Computer_Science
STU0173,98,54,55,62,55,57,48,93,82,58,66,37,64,3,4,10,5,7,0,1,Verbal-Linguistic,Female,Arts_Humanities
STU0174,84,80,90,91,77,47,54,36,73,51,84,86,83,7,6,8,7,10,1,0,Naturalistic,Male,Medicine
STU0175,83,85,80,40,77,83,67,95,71,90,51,71,75,9,3,5,10,6,0,0,Verbal-Linguistic,Male,Education
STU0176,84,88,80,86,87,72,72,56,67,79,83,84,83,9,8,6,8,10,1,0,Visual-Spatial,Female,Engineering
STU0177,81,77,69,77,51,81,74,87,83,93,49,72,75,4,8,6,8,7,0,0,Verbal-Linguistic,Male,Education
STU0178,88,84,67,88,75,92,84,71,65,90,54,34,65,5,3,7,9,8,0,0,Interpersonal,Female,Business
STU0179,32,75,67,78,68,60,51,42,79,84,79,69,77,7,6,5,3,8,1,0,Bodily-Kinesthetic,Female,Technical_Vocational
STU0180,61,85,84,82,80,62,62,72,61,90,90,82,53,9,7,5,3,9,1,1,Visual-Spatial,Female,Engineering
STU0181,81,69,66,31,76,79,90,56,70,96,56,43,58,5,6,5,10,5,0,0,Interpersonal,Male,Business
STU0182,57,86,65,69,93,64,78,67,63,98,82,84,61,3,10,8,7,6,1,0,Intrapersonal,Female,Computer_Science
STU0183,90,90,58,51,62,65,74,67,73,78,94,68,85,5,8,8,6,10,0,0,Interpersonal,Male,Technical_Vocational
STU0184,61,78,99,82,86,42,70,62,91,64,66,79,82,9,10,4,3,7,1,0,Naturalistic,Male,Natural_Sciences
STU0185,80,72,85,89,94,74,57,64,59,45,51,75,79,9,3,3,7,9,1,0,Naturalistic,Male,Medicine
STU0186,99,67,76,57,61,72,61,72,81,71,61,47,79,4,6,7,8,6,0,0,Verbal-Linguistic,Male,Education
STU0187,68,83,98,78,88,77,74,90,82,59,65,90,87,8,8,6,8,5,1,0,Naturalistic,Female,Natural_Sciences
STU0188,98,46,84,51,40,94,90,77,88,72,49,60,60,6,7,3,7,3,0,1,Intrapersonal,Female,Social_Sciences
STU0189,83,80,63,46,50,76,54,84,58,70,67,59,60,5,6,10,4,5,0,0,Naturalistic,Male,Arts_Humanities
STU0190,95,86,84,89,82,70,75,77,56,63,60,66,82,9,6,7,4,10,1,0,Bodily-Kinesthetic,Male,Medicine
STU0191,81,92,59,48,87,54,57,60,85,97,60,96,57,5,7,10,7,8,1,0,Interpersonal,Male,Computer_Science
STU0192,52,74,97,87,86,61,81,67,83,64,68,92,94,3,8,7,3,6,1,0,Naturalistic,Male,Natural_Sciences
STU0193,66,91,65,71,69,63,59,51,96,99,100,59,77,8,5,4,6,8,1,0,Naturalistic,Female,Technical_Vocational
STU0194,81,71,68,61,68,70,54,88,69,80,45,54,87,6,4,3,10,7,0,0,Verbal-Linguistic,Male,Education
STU0195,73,83,67,48,76,75,70,67,54,71,53,57,80,3,7,6,9,7,0,0,Interpersonal,Male,Business
STU0196,85,85,60,49,65,82,71,74,78,69,49,64,41,6,7,5,7,8,0,0,Interpersonal,Male,Business
STU0197,92,56,54,48,54,70,100,80,66,81,61,76,63,8,7,4,7,4,0,1,Verbal-Linguistic,Male,Law
STU0198,69,100,91,100,79,66,63,27,96,60,82,81,77,7,9,7,3,3,1,0,Verbal-Linguistic,Female,Natural_Sciences
STU0199,63,95,89,72,88,60,84,84,88,52,81,81,80,9,7,3,6,8,0,0,Naturalistic,Female,Natural_Sciences
STU0200,98,67,75,53,72,70,82,97,80,86,68,51,43,8,9,8,9,7,0,1,Verbal-Linguistic,Male,Law
STU0201,88,75,65,49,65,66,81,87,75,85,42,29,64,7,4,3,8,7,0,0,Verbal-Linguistic,Female,Education
STU0202,64,100,77,45,90,54,67,82,73,92,53,72,77,4,8,10,8,7,0,0,Bodily-Kinesthetic,Male,Computer_Science
STU0203,49,95,85,88,86,54,89,47,44,87,82,80,72,8,10,5,5,10,1,0,Visual-Spatial,Male,Engineering
STU0204,41,92,81,97,83,79,64,66,87,56,89,80,93,9,9,5,6,5,1,0,Naturalistic,Female,Natural_Sciences
STU0205,88,64,67,56,73,91,86,69,70,64,35,33,74,9,5,3,8,5,1,1,Intrapersonal,Female,Social_Sciences
STU0206,93,89,69,53,87,68,54,63,51,99,70,93,75,5,7,7,8,4,1,0,Logical-Mathematical,Male,Computer_Science
STU0207,73,77,52,52,82,83,68,85,79,89,68,98,58,7,10,7,8,6,0,0,Logical-Mathematical,Male,Computer_Science
STU0208,86,60,76,76,76,61,69,77,68,96,25,52,84,5,7,4,7,6,0,0,Verbal-Linguistic,Female,Education
STU0209,62,88,70,59,75,57,84,72,62,86,60,81,60,7,7,8,8,6,1,1,Logical-Mathematical,Male,Computer_Science
STU0210,62,81,49,81,88,57,60,58,83,89,79,78,66,7,9,3,3,10,1,1,Visual-Spatial,Male,Engineering
STU0211,85,64,83,77,55,89,90,78,84,97,38,40,53,8,5,6,10,6,0,1,Intrapersonal,Female,Social_Sciences
STU0212,79,76,81,45,62,65,65,81,71,86,72,48,67,6,3,7,8,8,0,0,Verbal-Linguistic,Male,Education
STU0213,92,41,74,56,58,66,73,95,64,84,52,67,76,4,5,6,10,7,1,1,Verbal-Linguistic,Male,Education
STU0214,70,76,88,91,65,66,57,48,76,70,44,83,72,9,5,4,3,8,0,0,Naturalistic,Male,Medicine
STU0215,89,46,81,62,48,71,87,88,72,80,59,49,77,9,8,3,7,8,0,0,Verbal-Linguistic,Female,Education
STU0216,80,77,90,89,87,60,63,64,46,80,63,61,53,9,4,8,3,9,1,0,Naturalistic,Female,Medicine
